zone,type,2025,2030,2035,2040,2045,2050
Angola,Energy,17080,21782,27265,33615,41004,49537
Cameroon,Energy,7978,9950,12436,15534,19395,24206
CAR,Energy,191,459,775,1088,1348,1631
Chad,Energy,336,414,487,559,633,709
Congo,Energy,2786,3749,4923,6352,8086,10208
DRC_total,Energy,15462,18791,22692,26777,31629,36208
EquatorialGuinea,Energy,921,1168,1443,1748,2093,2485
Gabon,Energy,3788,4844,6128,7464,9064,10736
Angola,Peak,2874,3665,4587,5655,6899,8334
Cameroon,Peak,1294,1614,2018,2520,3147,3927
CAR,Peak,68,139,187,241,276,311
Chad,Peak,77,91,103,114,125,135
Congo,Peak,498,671,881,1137,1447,1826
DRC_total,Peak,2522,3064,3701,4367,5158,5905
EquatorialGuinea,Peak,185,234,289,351,420,498
Gabon,Peak,562,718,909,1107,1344,1592
DRC_South,Energy,10050,12214,14750,17405,20559,23535
DRC,Energy,4948,6013,7262,8569,10121,11587
DRC_South,Peak,1639,1992,2405,2838,3353,3838
DRC,Peak,807,981,1184,1397,1651,1890